Solucion:
x0 = 0, y0 = 1
x = 0.10000, y = 1.00000
x = 0.20000, y = 1.01516
x = 0.30000, y = 1.04091
x = 0.40000, y = 1.07802
x = 0.50000, y = 1.12765
x = 0.60000, y = 1.19139
x = 0.70000, y = 1.27133
x = 0.80000, y = 1.37022
x = 0.90000, y = 1.49156
x = 1.00000, y = 1.63988
x = 1.10000, y = 1.82095
