x	y1	y2	y3	Q
0.00000	1.00000	1.00000	1.00000	inf
0.20000	0.60000	0.70000	0.67012	1.74299
0.40000	0.40000	0.52800	0.48808	1.68111
0.60000	0.32000	0.44304	0.40304	1.62094
0.80000	0.31200	0.41727	0.38163	1.56250
1.00000	0.34720	0.43174	0.40197	1.50576
1.20000	0.40832	0.47358	0.44971	1.45072
1.40000	0.48499	0.53404	0.51542	1.39735
1.60000	0.57100	0.60715	0.59292	1.34564
1.80000	0.66260	0.68886	0.67816	1.29557
2.00000	0.75756	0.77642	0.76848	1.24712
